CountyName,Year,Month,loading_kgha,load_covered_area_ha,n_valid_pieces,n_total_pieces,county_area_ha_from_pieces,coverage_frac
Dubuque,2015.0,10.0,0.6183743264721314,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2015.0,11.0,1.8793575967073621,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2015.0,12.0,6.098119531198245,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2016.0,1.0,2.4590989376513432,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2016.0,2.0,2.318156266088821,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2016.0,3.0,2.9097132069066816,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2016.0,4.0,3.8246894778712193,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2016.0,5.0,2.0250566097379443,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2016.0,6.0,5.602074773591908,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2016.0,7.0,1.5351954230466003,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2016.0,8.0,1.686071660645313,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2016.0,9.0,4.056466443509158,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2016.0,10.0,2.766257975123873,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2016.0,11.0,1.5646291754188644,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2016.0,12.0,1.9873395460488616,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2017.0,1.0,3.558737566854632,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2017.0,2.0,1.9782638986321095,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2017.0,3.0,2.329413511685697,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2017.0,4.0,3.2085522726556843,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2017.0,5.0,3.6250555285991264,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2017.0,6.0,2.7847829031422275,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2017.0,7.0,4.076599399545863,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2017.0,8.0,1.6425867350983787,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2017.0,9.0,0.7871931636220979,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2017.0,10.0,1.0323785904758422,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2017.0,11.0,0.9017601691660173,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2017.0,12.0,0.9457977263727958,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2018.0,1.0,1.0811024037841392,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2018.0,2.0,3.042432265793937,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2018.0,3.0,1.1031688016019892,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2018.0,4.0,1.300336170558557,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2018.0,5.0,2.024645353338986,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2018.0,6.0,5.829410096077105,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2018.0,7.0,2.14759975681655,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2018.0,8.0,2.001330419007314,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2018.0,9.0,9.117468822986613,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2018.0,10.0,5.7022736192762045,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2018.0,11.0,3.0141246537113418,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2018.0,12.0,2.4253131572247715,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2019.0,1.0,1.8859436042018667,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2019.0,2.0,1.6991400044755123,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2019.0,3.0,7.509897520349642,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2019.0,4.0,2.0194889935658367,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2019.0,5.0,4.09920015125028,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2019.0,6.0,3.5998300834153274,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
